Id,titolo,descrizione,img,categoria,tag,territorio,URL,link-search,fontedati,collaborazione,data,mese,anno
1,PA Digitale 2026 PNRR,Candidature dei Comuni confermate e finanziate nel PNRR con i fondi dedicati alla digitalizzazione della Pubblica Amministrazione - PA digitale 2026,legend/clip_index/pa_digitale_26.jpg,Pubblica Amministrazione,"PNRR,Comuni,Avviso",Italia,pa_digitale_2026.html,https://palermohub.opendatasicilia.it/pa_digitale_2026.html,"Team Digitale - Pa Digitale 2026,GitHub",@gbvitrano,06-09-2025,2025-September,2025
2,Studio Demografico e Socio-Economico del Centro Storico di Palermo,Un'innovativa piattaforma di analisi geospaziale che trasforma i dati catastali e demografici in insights strategici per la comprensione del tessuto urbano palermitano.,legend/clip_index/socio_econ.jpg,"Demografia,Economia,Urbanistica","Catasto,Popolazione,Analisi Spaziale",Palermo,https://palermohub.github.io/cspa/,https://palermohub.github.io/cspa/,Zornade,@gbvitrano,05-08-2025,2025-August,2025
3,Variante Generale e Particelle catastali e stampa pdf,"Variante Generale e Particelle catastali, mappa realizzata con QGIS, pmtiles e librerie Maplibre e un pizzico di AI",legend/clip_index/catasto.jpg,"Urbanistica,Cartografia,Tecnologia","Catasto,MapLibre,QGIS",Palermo,prg_part_catastali.html,https://palermohub.opendatasicilia.it/prg_part_catastali.html,"Comune di Palermo,Regione Sicilia",@gbvitrano,05-01-2025,2025-January,2025
4,Variante Generale e Particelle catastali,"Variante Generale e Particelle catastali, mappa realizzata con QGIS, pmtiles e librerie Maplibre",legend/clip_index/prg_catasto.jpg,"Urbanistica,Cartografia,Tecnologia","Catasto,MapLibre,QGIS",Palermo,prg_catasto.html,https://palermohub.opendatasicilia.it/prg_catasto.html,"Comune di Palermo,Regione Sicilia",@gbvitrano,02-01-2025,2025-January,2025
5,Palermo - Strumenti Urbanistici - Modello 3D - MapLibre,Modello 3D - MapLibre,legend/clip_index/pmtiles_pa.jpg,"Urbanistica,Tecnologia,Modellazione 3D","MapLibre,Overture Maps,Modellazione 3D",Palermo,pmtiles_pa.html,https://palermohub.opendatasicilia.it/pmtiles_pa.html,"Overture Maps Foundation,Comune di Palermo",@gbvitrano,30-12-2024,2024-December,2024
6,Palermo Catasto incendi 2023,Aggiornamento del catasto dei soprassuoli percorsi dal fuoco. Incendi Anno 2023,legend/clip_index/incendi_palermo_2023.jpg,"Ambiente,Sicurezza,Territorio","Catasto Incendi,Incendi,Palermo",Palermo,catasto_incendi_pa_2023.html,https://palermohub.opendatasicilia.it/catasto_incendi_pa_2023.html,"Comune di Palermo,SIF",@gbvitrano,12-08-2024,2024-August,2024
7,Amap Palermo - Mappa Distretti razionamento idrico dal 7 Ottobre 2024,Amap adotterà a partire dal prossimo 7 ottobre un piano sperimentale di razionamento della risorsa idrica che riguarderà diversi distretti della città di Palermo.,legend/clip_index/palermo_amap.jpg,"Ambiente,Emergenze,Gestione delle Risorse","Acqua,Riduzione Idrica,Distretti",Palermo,palermo_amap.html,https://palermohub.opendatasicilia.it/palermo_amap.html,AMAP S.p.A.,"@aborruso,@gbvitrano",27-07-2024,2024-July,2024
8,Palermo - Mappa dei distretti gestiti dall'AMAP S.p.A. soggetti a riduzione della pressione idrica,Amap SpA ha risposto a una nostra richiesta e ha messo a disposizione di OpenDataScilia e pubblicamente le informazioni disponibili sulla localizzazione dei distretti della rete idrica di Palermo,legend/clip_index/distretti_amap_pa.jpg,"Ambiente,Gestione delle Risorse,Territorio","Acqua,Pressione Idrica,AMAP",Palermo,distretti_amap_pa.html,https://palermohub.opendatasicilia.it/distretti_amap_pa.html,AMAP S.p.A.,"@aborruso,@gbvitrano",24-04-2024,2024-April,2024
9,Mappa con le principali risorse idriche dell'isola dighe laghi e fiumi,Sicilia principali risorse idriche,legend/clip_index/risorse_idriche.jpg,"Ambiente,Geografia,Gestione delle Risorse","Dighe,Fiumi,Laghi",Sicilia,risorse_idriche.html,https://palermohub.opendatasicilia.it/risorse_idriche.html,Regione Sicilia,@gbvitrano,06-04-2024,2024-April,2024
10,Italia - Punti di ricarica per i veicoli elettrici,Piattaforma Unica Nazionale dei punti di ricarica per i veicoli elettrici.,legend/clip_index/punti_ricarica.jpg,"Mobilità,Ambiente,Tecnologia","Punti di Ricarica,Veicoli Elettrici,Italia",Italia,punti_ricarica.html,https://palermohub.opendatasicilia.it/punti_ricarica.html,"MASE,onData",@gbvitrano,30-03-2024,2024-March,2024
11,Deposito Nazionale dei rifiuti radioattivi - 51 AREE IDONEE,Deposito Nazionale dei rifiuti radioattivi - 51 AREE IDONEE,legend/clip_index/depositi_nucleari.jpg,"Ambiente,Energia,Sicurezza","Rifiuti Radioattivi,Nucleari,Italia",Italia,depositi_nucleari.html,https://palermohub.opendatasicilia.it/depositi_nucleari.html,"MASE,Sogin",@gbvitrano,17-12-2023,2023-December,2023
12,Palermo - Localizzazione sinistri 2022 - Umap,"Il 2022 è caratterizzato da una netta ripresa della mobilità e, come conseguenza, anche dell’incidentalità stradale. (ISTAT) e Palermo non fa eccezione. Secondo gli ultimi rapporti, il numero di incidenti stradali a Palermo è rimasto elevato, richiedendo un'attenzione costante alla sicurezza stradale.",legend/clip_index/Sinistri_stradali_2022_umap.jpg,"Mobilità,Sicurezza,Dati","Umap,Incidenti,Sinistri",Palermo,Palermo_incidenti_2022_umap.html,https://palermohub.opendatasicilia.it/Palermo_incidenti_2022_umap.html,Comune di Palermo,@gbvitrano,24-10-2023,2023-October,2023
13,Palermo - Localizzazione sinistri 2022 - Felt,"Il 2022 è caratterizzato da una netta ripresa della mobilità e, come conseguenza, anche dell’incidentalità stradale. (ISTAT) e Palermo non fa eccezione. Secondo gli ultimi rapporti, il numero di incidenti stradali a Palermo è rimasto elevato, richiedendo un'attenzione costante alla sicurezza stradale.",legend/clip_index/Sinistri_stradali_2022_felt.jpg,"Mobilità,Sicurezza,Dati","Felt,Incidenti,Sinistri",Palermo,Palermo_incidenti_2022_felt.html,https://palermohub.opendatasicilia.it/Palermo_incidenti_2022_felt.html,Comune di Palermo,@gbvitrano,24-10-2023,2023-October,2023
14,Italia - Incendi attivi VIIRS 375m / S-NPP,Mappa con gli incendi attivi in Italia. In primo piano gli eventuali incendi del giorno in corso a seguire gli incendi nelle 24h precedenti. Cliccando sull'icona layer si possono caricare gli incendi 48h e 7d la mappa è alimentata con i dati della NASA Firms,legend/clip_index/nasa_firms.jpg,"Ambiente,Sicurezza,Dati","NASA,Incendi,Monitoraggio",Italia,nasa_firms.html,https://palermohub.opendatasicilia.it/nasa_firms.html,NASA,@gbvitrano,30-08-2023,2023-August,2023
15,Discarica di Bellolampo incendio del 24 luglio 2023,Comuni territorio e popolazione coinvolta (circa 61.800) nelle misure cautelative che interessano un’area con un raggio di 4 km dal sito della discarica di Bellolampo del Comune di Palermo dopo l'incendio del 24 luglio 2023,legend/clip_index/bellolampo_diossina.jpg,"Ambiente,Sicurezza,Salute","Diossina,Incendi,Rifiuti",Palermo,bellolampo_diossina.html,https://palermohub.opendatasicilia.it/bellolampo_diossina.html,Comune di Palermo,"@aborruso,@gbvitrano",01-08-2023,2023-August,2023
